Tipo de Carrera,Comienzo,Fin,Nombre del Circuito,País,Ubicación
Race,2025-03-16T04:00:00+00:00,2025-03-16T06:00:00+00:00,Melbourne,Australia,Melbourne
Sprint,2025-03-22T03:00:00+00:00,2025-03-22T04:00:00+00:00,Shanghai,China,Shanghai
Race,2025-03-23T07:00:00+00:00,2025-03-23T09:00:00+00:00,Shanghai,China,Shanghai
Race,2025-04-06T05:00:00+00:00,2025-04-06T07:00:00+00:00,Suzuka,Japan,Suzuka
Race,2025-04-13T15:00:00+00:00,2025-04-13T17:00:00+00:00,Sakhir,Bahrain,Sakhir
Race,2025-04-20T17:00:00+00:00,2025-04-20T19:00:00+00:00,Jeddah,Saudi Arabia,Jeddah
Sprint,2025-05-03T16:00:00+00:00,2025-05-03T16:30:00+00:00,Miami,United States,Miami Gardens
Race,2025-05-04T20:00:00+00:00,2025-05-04T22:00:00+00:00,Miami,United States,Miami Gardens
Race,2025-05-18T13:00:00+00:00,2025-05-18T15:00:00+00:00,Imola,Italy,Imola
Race,2025-05-25T13:00:00+00:00,2025-05-25T15:00:00+00:00,Monte Carlo,Monaco,Monaco
Race,2025-06-01T13:00:00+00:00,2025-06-01T15:00:00+00:00,Catalunya,Spain,Barcelona
Race,2025-06-15T18:00:00+00:00,2025-06-15T20:00:00+00:00,Montreal,Canada,Montréal
Race,2025-06-29T13:00:00+00:00,2025-06-29T15:00:00+00:00,Spielberg,Austria,Spielberg
Race,2025-07-06T14:00:00+00:00,2025-07-06T16:00:00+00:00,Silverstone,United Kingdom,Silverstone
Sprint,2025-07-26T10:00:00+00:00,2025-07-26T10:30:00+00:00,Spa-Francorchamps,Belgium,Spa-Francorchamps
Race,2025-07-27T13:00:00+00:00,2025-07-27T15:00:00+00:00,Spa-Francorchamps,Belgium,Spa-Francorchamps
Race,2025-08-03T13:00:00+00:00,2025-08-03T15:00:00+00:00,Hungaroring,Hungary,Budapest
Race,2025-08-31T13:00:00+00:00,2025-08-31T15:00:00+00:00,Zandvoort,Netherlands,Zandvoort
Race,2025-09-07T13:00:00+00:00,2025-09-07T15:00:00+00:00,Monza,Italy,Monza
Race,2025-09-21T11:00:00+00:00,2025-09-21T13:00:00+00:00,Baku,Azerbaijan,Baku
Race,2025-10-05T12:00:00+00:00,2025-10-05T14:00:00+00:00,Singapore,Singapore,Marina Bay
Sprint,2025-10-18T17:00:00+00:00,2025-10-18T17:30:00+00:00,Austin,United States,Austin
Race,2025-10-19T19:00:00+00:00,2025-10-19T21:00:00+00:00,Austin,United States,Austin
Race,2025-10-26T20:00:00+00:00,2025-10-26T22:00:00+00:00,Mexico City,Mexico,Mexico City
Sprint,2025-11-08T14:00:00+00:00,2025-11-08T15:00:00+00:00,Interlagos,Brazil,São Paulo
Race,2025-11-09T17:00:00+00:00,2025-11-09T19:00:00+00:00,Interlagos,Brazil,São Paulo
Race,2025-11-23T04:00:00+00:00,2025-11-23T06:00:00+00:00,Las Vegas,United States,Las Vegas
Sprint,2025-11-29T14:00:00+00:00,2025-11-29T15:00:00+00:00,Lusail,Qatar,Lusail
Race,2025-11-30T16:00:00+00:00,2025-11-30T18:00:00+00:00,Lusail,Qatar,Lusail
Race,2025-12-07T13:00:00+00:00,2025-12-07T15:00:00+00:00,Yas Marina Circuit,United Arab Emirates,Yas Island
